index,date,location
372,25  May 2004,"Los Angeles, CA - Pepsi Smash taping, WB"
373,26 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
374,27 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
375,28 May 2004,"Los Angeles, CA - The Late Late Show with Craig Kilborn"
376,14 Jul 2004,"Auburn, WA - White River Amphitheatre"
377,17 Jul 2004,"Mountain View, CA - Shoreline Amphitheatre"
378,20 Jul 2004,"San Diego, CA - Coors Amphitheater"
379,26 Jul 2004,"Greenwood Village, CO - Coors Amphitheater"
380,29 Jul 2004,"Tinley Park, IL - Tweeter Center"
381,01 Aug 2004,Naeba - Fuji Rock Festival
382,02 Aug 2004,"Clarkston, MI - DTE Energy Music Theatre"
383,05 Aug 2004,"Toronto, ON - Molson Amphitheatre"
384,07 Aug 2004,Benicàssim - Benicàssim Festival
385,09 Aug 2004,"Cuyahoga Falls, OH - Blossom Music Center"
386,12 Aug 2004,"Columbia, MD - Merriweather Post"
387,14 Aug 2004,"Mansfield, MA - Tweeter Center"
388,16 Aug 2004,"New York City, NY - Randalls Island"
389,18 Aug 2004,"Camden, NJ - Tweeter Center at the Waterfront"
390,21 Aug 2004,"Atlanta, GA - Turner Field"
391,24 Aug 2004,"Dallas, TX - Smirnoff Music Center"
392,27 Aug 2004,Paris - Rock en Seine Festival (I can only speculate this show was cancelled because Morrissey thought he would be recovering from Lollapalooza or that the dates were too close for comfort.  The Roots ended up replacing Morrissey on the bill.)
393,18 Sep 2004,"Devore, CA - KROQ Inland Invasion 4 (Morrissey cancelled due to illness... but he actually made it up to KROQ fans for their Halloween show.  Siouxsie and Billy Idol headlined in Morrissey's place.)"
394,19 Sep 2004,"San Francisco, CA - Golden Gate Park - Now & Zen Fest 2004 (Morrissey's illness continues, read about it on morrissey-solo.com)"
395,28 Oct 2004,"Houston, TX - Verizon Wireless Theatre (Cancelled due to ""strained vocal chords""... What's funny is that the cancellation would continue, according to houstonpress.com: ""The original [rescheduled] date for Beaumont was December 2, 2012, later postponed to February 16, 2013 and pushed again to April 12, 2013. He finally appeared in person on May 25, 2014, more than two years after the original date."")"
396,29 Oct 2004,"Austin, TX - The Backyard (Strained vocal chords continues)"
397,11 Jun 2005,"Nokia Isle of Wight Music Festival - Newport, England
From nme.com: 

A statement reads: “Morrissey will regrettably not be appearing at the Isle Of Wight Festival on the 11th of June as scheduled. The pressure of preparing the new album and losing his drummer earlier this month has made it impossible to do the gig without massively compromising both the gig and the album. Apologies to all the fans, the organisers and the people of the Isle Of Wight.”"
398,15 Mar 2006,"Odessa, TX - Dos Amigos"
399,23 Mar 2006,"London - ""Friday Night With Jonathan Ross"""
400,12 Jul   200,"6 	Sesto Fiorentino, Firenze - Villa Solaria"
401,14 Jul 2006,Napoli - Neapolis Festival
402,15 Jul  2006,"Zafferana Etnea, Catania - Anfiteatro"
403,26 Jun 2007,"Boston, MA - Bank of America Pavilion (7 songs only)"
404,27 Jun 2007,"Northampton, MA - Pines Theatre"
405,29 Jun 2007,"Philadelphia, PA - Mann Center"
406,30 Jun 2007,"New York, NY - Madison Square Garden"
407,03 Jul 2007,"Baltimore, MD - Rams Head"
408,05 Jul 2007,"Atlantic City, NJ - Borgata"
409,06 Jul 2007,"Holmdel, NJ - PNC Bank Arts Center"
410,02 Oct 2007,"Los Angeles, CA - Hollywood Palladium"
411,04 Oct 2007,"Los Angeles, CA - Hollywood Palladium"
412,08 Nov 2007,"Miami, FL - The Fillmore"
413,26 Jan 2008,"London - Roundhouse (they tried to move the show to the Forum, but Morrissey refused, because he played there in 1999 and had no desire to return, according to ratty)"
414,27 Jan 2008,London - Roundhouse
415,28 Feb 2009,"Boca Raton, FL - Mizner Park  (illness)"
416,01 Mar2009	O,"rlando, FL - Hard Rock Live"
417,03 Mar 2009,"Jacksonville, FL - Florida Theatre"
418,04 Mar 2009,"St. Petersburg, FL - Jannus Landing Courtyard"
419,06 Mar 2009,"Myrtle Beach, SC - House of Blues 	
(show was cut short)"
420,07 Mar  2009,"Atlanta, GA - Variety Playhouse"
421,09 Mar 2009,"Asheville, NC - Orange Peel (still ill)"
422,17 Apr 2009,"Coachella 2009 (set cut short because of ""smell of burning animals"")"
423,18 Apr 2009,"Oakland, CA - Paramount Theatre (illness)"
424,11 May  2009,London - Royal Albert Hall (illness)
425,13 May  2009,Birmingham - Symphony Hall
426,25 May 2009,Salisbury - City Hall
427,26 May 2009,London - Mile End Troxy Ballroom
428,28 May  2009,London - Brixton 02 Academy
429,29 May  2009,London - Brixton 02 Academy
430,30 May 2009,London - Brixton 02 Academy
431,02 Jun 2009,Paris - Le Grand Rex (Doctor orders Morrissey to not sing)
432,03 Jun 2009,Lille - Aéronef
433,13 Jul 2009,Rimini - Velvet (Postponed)
434,14 Jul 2009,Rimini - Velvet (Postponed)
435,24 Oct 2009,"Oasis Leisure Centre, Swindon, England (After the first song, Morrissey collapsed and rushed to the hospital - read about it on theguardian.com)"
436,26 Oct 2009,Bournemouth - Opera House (cancelled because of Morrissey's hospitalization in Swindon).
437,07 Nov 2009,"Echo Arena, Liverpool (show stopped at song two because someone threw and hit Morrissey with a bottle)."
438,05 Dec 2009,"Indio, CA - Fantasy Springs (Morrissey has blown out his voice)"
439,14 Jul 2011,"Helsingborg - Sundspärlan (Cancelled due to rain... even though ""the promoter wanted it to go ahead as gigs in the rain have been played on the same stage without any major problems"")"
440,10 Nov 2011,"Chicago, IL - Congress Theater	(postponed due to a visa administration error)"
441,23 Nov 2011,"Los Angeles, CA - ""Jimmy Kimmel Live!"""
442,01 Dec 2011,"Oakland, CA - Fox Theater"
443,24 Jul 2012,"Cascais - Cascais Music Festival 

Morrissey's mother was hospitalized. Can't really blame Morrissey's humanity for suddenly stopping his tour to fly back to England to see his mother in the hospital.  Originally it was only going to be a few days before he resume his tour... but unfortunately the remainder of the 2012 dates were all postponed until 2013. Those 2013 announced were also cancelled due to ""a series of medical mishaps"", but you can read all about that in the 2013 entries."
444,23 Oct 2012,"Pittsburgh, PA - Heinz Hall"
445,24 Oct 2012,"Columbus, OH - LC Indoor Pavilion"
446,26 Oct 2012,"Flint, MI - James H Whiting Auditorium"
447,27 Oct 2012,"Chicago, IL - The Chicago Theatre"
448,29 Oct 2012,"Minneapolis, MN - Orpheum Theatre"
449,30 Oct 2012,"Clear Lake, IA - Surf Ballroom"
450,01 Nov 2012,"Lincoln, NE - Rococo Theatre"
451,03 Nov 2012,"Denver, CO - Ellie Caulkins Opera House"
452,04 Nov 2012,"Salt Lake City, UT - Kingsbury Hall at University of Utah"
453,08 Nov 2012,"Seattle, WA - Moore Theatre"
454,10 Nov 2012,"Bellingham, WA - Mount Baker Theatre"
455,11 Nov 2012,"Portland, OR - Arlene Schnitzer Concert Hall"
456,14 Nov 2012,"Davis, CA - Robert Mondavi Center at UC Davis"
457,16 Nov 2012,"San Francisco, CA - Davies Symphony Hall"
458,17 Nov 2012,"Reno, NV - John Ascuaga's Nugget - Rose Ballroom"
459,21 Nov 2012,"Tempe, AZ - Marquee Theater"
460,23 Nov 2012,"Las Vegas, NV - The Cosmopolitan of Las Vegas at The Chelsea Ballroom"
461,24 Nov 2012,"Los Angeles, CA - STAPLES Center"
462,27 Nov 2012,"El Paso, TX - Tricky Falls"
463,28 Nov 2012,"Wichita Falls, TX - Kay Yeager Coliseum"
464,30 Nov 2012,"Pharr, TX - Pharr Events Center"
465,01 Dec 2012,"Beaumont, TX - Jefferson Theatre"
466,03 Dec 2012,"Atlanta, GA - Cobb Energy Performing Arts Centre"
467,05 Dec 2012,"Asheville, NC - The Orange Peel"
468,07 Dec 2012,"North Bethesda, MD - The Music Center at Strathmore"
469,08 Dec 2012,"Atlantic City, NJ - House of Blues at Showboat Atlantic City"
470,24 Jan  2013,"Flint, MI - James H Whiting Auditorium"
471,25 Jan  2013,"Minneapolis, MN - Orpheum Theatre"
472,26 Jan  2013,"Chicago, IL - The Chicago Theatre"
473,28 Jan 2013,"Asheville, NC - The Orange Peel"
474,29 Jan  2013,"Nashville, TN - Ryman Auditorium"
475,31 Jan  2013,"Atlanta, GA - Cobb Energy Performing Arts Centre"
476,02 Feb  2013,"Lawrence, KS - Liberty Hall"
477,05 Feb  2013,"Clear Lake, IA - Surf Ballroom"
478,06 Feb 2013,"Lincoln, NE - Rococo Theatre"
479,09 Feb 2013,"Las Vegas, NV - The Cosmopolitan"
480,10 Feb  2013,"Tempe, AZ - Marquee Theater"
481,12 Feb   201,"3	El Paso, TX - Tricky Falls"
482,13 Feb   201,"3	Austin, TX - Austin Music Hall"
483,15 Feb   201,"3	Pharr, TX - Pharr Events Center"
484,16 Feb   201,"3	Beaumont, TX - Jefferson Theatre"
485,18 Feb   201,"3	Dallas, TX - Palladium Ballroom"
486,21 Feb   201,"3	Denver, CO - Temple Hoyne Buell Theatre"
487,22 Feb   201,"3	Salt Lake City, UT - Kingsbury Hall at University of Utah"
488,24 Feb  2013,"San Francisco, CA - Davies Symphony Hall"
489,26 Feb 2013,"Los Angeles, CA - Jimmy Kimmel Live (cancelled due to Duck Dynasty; hollywoodreporter.com)"
490,02 Mar 2013,"Sparks, NV - John Ascuaga's Nugget - Rose Ballroom"
491,09 Mar 2013,"San Francisco, CA - The Regency Ballroom"
492,14  Mar 2013,Mexico City - Vive Latino Festival
493,18 Mar 2013,"Lawrence, KS - Liberty Hall"
494,19 Mar 2013,"Lincoln, NE - Rococo Theatre"
495,22 Mar 2013,"Minneapolis, MN - Orpheum Theatre"
496,23 Mar 2013,"Chicago, IL - The Chicago Theatre"
497,27 Mar 2013,"Clear Lake, IA - Surf Ballroom"
498,29 Mar 2013,"Nashville, TN - Ryman Auditorium"
499,30 Mar 2013,"Atlanta, GA - Cobb Energy Performing Arts Centre"
500,02 Apr 2013,"Asheville, NC - The Orange Peel"
501,03 Apr 2013,"Richmond, VA - The National"
502,05 Apr 2013,"Washington, DC - The National Theatre"
503,06 Apr 2013,"Philadelphia, PA - Tower Theater"
504,08 Apr 2013,"Flint, MI - James H Whiting Auditorium"
505,09 Apr 2013,"Indianapolis, IN - Murat Theatre"
506,12 Apr 2013,"Beaumont, TX - Jefferson Theatre"
507,13 Apr 2013,"Pharr, TX - Pharr Events Center"
508,15 Apr 2013,"Dallas, TX - Palladium Ballroom"
509,16 Apr 2013,"Austin, TX - Austin Music Hall"
510,19 Apr 2013,"Tempe, AZ - Marquee Theater"
511,20 Apr 2013,"Las Vegas, NV - The Cosmopolitan"
512,23 Apr 2013,"El Paso, TX - Tricky Falls"
513,26 Apr 2013,"Denver, CO - Temple Hoyne Buell Theatre"
514,28 Apr 2013,"Salt Lake City, UT - Kingsbury Hall at University of Utah"
515,30 Apr  2013,"San Francisco, CA - The Warfield"
516,01 May  2013,"San Francisco, CA - The Regency Ballroom"
517,09 Jul  2013,Lima - Jockey Club
518,10 Jul   201,3 	Lima - Jockey Club
519,15 Jul  2013,Viña del Mar - Espacio Sporting Club
520,16 Jul  2013,Rancagua - Monticello Grand Casino
521,18 Jul  2013,Puerto Montt - Arena Puerto Montt
522,19 Jul  2013,Concepción - Gimnasio Municipal
523,22 Jul  2013,Santiago - Teatro La Cúpula
524,23 Jul  2013,Santiago - Teatro La Cúpula
525,25 Jul  2013,Santiago - Amanda Club (private event)
526,26 Jul   201,3	Santiago - Movistar Arena
527,28 Jul  2013,Buenos Aires - Tecnópolis
528,30 Jul  2013,Sao Paulo - Credicard Hall
529,02 Aug 2013,Brasilia - Espaco Iguatemi
530,04 Aug 2013,Rio de Janeiro - Citibank Hall
531,04 Jun 2014,"Atlanta, GA - Cobb Energy Centre (cancelled because Morrissey blamed Kristeen Young for giving him the cold)"
532,06 Jun 2014,"Atlantic City, NJ - Revel Ovation Hall"
533,07 Jun 2014,"Boston, MA - Boston Opera House"
534,10 Jun 2014,"Baltimore, MD - Meyerhoff Symphony Hall"
535,11 Jun 2014,"Washington, DC - Lincoln Theatre"
536,13 Jun 2014,"Chicago, IL - Civic Opera House"
537,14 Jun 2014,"Flint, MI - James Whiting Auditorium"
538,16 Jun 2014,"Lewiston, NY - Artpark Main Stage Theater"
539,17 Jun 2014,"Wilmington, DE - Grand Opera House"
540,19 Jun 2014,"Hershey, PA - Hershey Theatre"
541,21 Jun 2014,"New York, NY - Barclays Center"
542,22 Jun 2014,"Atlantic City, NJ - Revel Ovation Hall"
543,24 Jun 2014,"Baltimore, MD - Meyerhoff Symphony Hall"
544,25 Jun 2014,"Washington, DC - Lincoln Theatre"
545,31 Oct 2014,Lyon - Le Radiant
546,02 Nov 2014,Lausanne - Les Docks
547,03 Nov 2014,Basel - Event Hall Messe
548,19 Nov 2014,"Stodola, Warsaw - Poland (Walked off stage 25 mins, details)"
549,05 Dec 2014,"Tae Kwon Do Arena, Athens -  Greece (postponed for missing a flight)"
550,07 Dec 2014,"Volkswagen Arena, Istanbul - Turkey (postponed for logistics issues)"
551,13 Dec 2014,"Les Docks,  Lausanne - Switzerland"
552,15 Dec 2014,"De Oosterpoort, Groningen -   Netherlands (postponed)"
553,16 Dec 2014,Tilburg - 013 (postponed)
554,10 Mar 2015,Tilburg - 013 	(postponed to March 29)
555,27 Mar 2015,Alan Carr: Chatty Man appearance (stuck in Belfast)
556,19	Aug 2016,Istanbul - KüçükÇiftlik Park	 (cancelled)
557,01 Oct 2016,Yokohama - Bay Hall	 (cancelled)
558,18 Oct 2016,Bangkok - Moonstar Studio (cancelled)
559,14 Nov 2016,"Boulder, CO (cancelled) (keyboardist Gustavo Manzur collapsed and was hospitalized)"
560,16 Nov 2016,"Dallas, TX - McFarlin Auditorium  (postponed)"
561,17 Nov 2016,"San Antonio, TX - Tobin Center for the Performing Arts (postponed)"
562,19 Nov 2016,"Houston, TX - White Oak Music Hall  (postponed)"
563,23 Nov 2016,"El Paso, TX - Abraham Chavez Theatre (cancelled)"
564,23 Nov 2016,"Detroit, MI - Royal Oak Music Theatre (postponed)"
565,25 Nov 2016,"Cleveland, OH - State Theatre (postponed)"
566,27 Nov 2016,"Chicago, IL - Aragon Ballroom (postponed)"
567,07 Dec 2016,"Detroit, MI - Royal Oak Music Theatre	 (cancelled)"
568,09 Dec 2016,"Cleveland, OH - State Theatre (cancelled)"
569,10 Dec 2016,"Chicago, IL - Aragon Ballroom	(cancelled)"
570,14 Dec 2016,"Dallas, TX - McFarlin Auditorium	(cancelled)"
571,16 Dec 2016,"Houston, TX - White Oak Music Hall	(cancelled)"
572,17 Dec 2016,"San Antonio, TX - Majestic Theatre	(cancelled)"
573,10 Apr 2017,"Tucson, AZ - Fox Tucson Theatre  (walked off after six songs due to vocal issues)"
574,12 Apr 2017,"San Antonio, TX - Tobin Center (third San Antonio cancellation, citing ""health concerns"" via mysanantonio.com)"
575,06 Sep 2017,"Macerata Opera Festival, Italy (details)"
576,05 Nov 2017,"Paso Robles, CA - Vina Robles Amphitheatre (heater not working, announced at 8:30pm)"
577,04 Dec 2017,"Philadelphia, PA - The Fillmore	(cancelled, announced at 1:30pm)"
578,05 Dec 2017,The Late Show with Stephen Colbert (Morrissey was scheduled to appear along with guests Saoirse Ronan and Van Jones... Comedian Michelle Wolf filled in.  Additional details at morrissey-solo.com)
579,07 Dec 2017,"Boston, MA - Orpheum Theatre (cancelled, announced 12/06 at 5pm)"
580,10 Dec 2017,"KROQ Almost Acoustic Christmas 2017 (It's suggested by KROQ staff that they knew about the cancellation since Thursday, they officially announced the cancellation on Saturday at 8pm. To be fair, KROQ was hoping that conditions would improve, but it did not. The Killers will now headline, with Sad Girl added to the lineup.)"
581,16 Dec 2017,"CBS This Morning - Saturday Sessions (Although there is a 25% chance that Morrissey will cancel his Saturday Sessions, I don't think he will. The show is pre-recorded and only requires one or two songs. Based on Anthony Mason's Morrissey confirmation and Morrissey's recent feisty Der Spiegel comment, it sounded like he's feeling much better.  But who knows.  We'll find out this Saturday. Update 12/14/2017: It's possible that Morrissey will not appear live at all, but that CBS will use pre-recorded live concert footage. Update 12/17/2017: Confirmed, Morrissey did not show up. Instead, CBS used footage from Morrissey's appearance at The Anthem in Washington DC from Nov 30, before he fell ill.)"
582,04 Jul 2018,Edinburgh - Usher Hall	(Postponed)
583,07 Jul 2018,Manchester - Castlefield Bowl	(Postponed)
584,08 Jul 2018,Manchester - Castlefield Bowl	(Postponed)
585,10 Jul 2018,Portsmouth - Guildhall	(Postponed)
586,12 Jul 2018,Reading - Rivermead	(Postponed)
587,15 Jul 2018,Berlin - Mercedes-Benz Arena	(Postponed)
588,17 Jul 2018,Copenhagen - DR Koncerthuset	(Postponed)
589,19 Jul 2018,Rattvik - Dalhalla Arena	(Postponed)
590,21 Jul 2018,Helsinki - Ice Hall Black Box (Postponed)
591,05 Dec 2018,"Asunción, Paraguay - Centro de Convenciones de la Conmebol (cancelled due to food poisoning)"
592,14 Apr 2019,"Vancouver, BC - Orpheum Theatre (Postponed)"
593,15 Apr 2019,"Vancouver, BC - Orpheum Theatre (Postponed)"
594,17 Apr 2019,"Calgary, AB - Southern Alberta Jubilee Auditorium (Postponed)"
595,18 Apr 2019,"Edmonton, AB - Northern Alberta Jubilee Auditorium (Postponed)"
596,20 Apr 2019,"Saskatoon, SK - TCU Place	  (Postponed)"
597,22 Apr 2019,"Winnipeg, MB - Centennial Concert Hall	 (Postponed)"
598,Musicians Wh,o Died in 2019
599,Musicians Wh,o Died in 2018
600,Musicians Wh,o Died in 2017
601,Musicians Wh,o Died in 2016
602,Musicians Wh,o Died in 2015
603,Twin Cities,Venue Guide
604,2018 Shows,
605,2017: 176 Sh,ows
606,2016: 304 Sh,ows
607,2015: 346 Sh,ows
608,Rocktober 20,12-2017
609,Every date t,hat Morrissey has ever canceled
610,Registered H,istorical Facts: Smiths and Morrissey in Pop Culture
611,W♥M Podcast,Archive
612,,
613,W♥M,"on Flashback: Stretch Princess at Dunn Bros., Minneapolis (04/28/99)"
614,Hei,"th on Flashback: Stretch Princess at Dunn Bros., Minneapolis (04/28/99)"
615,Ber,"ita Musik on HONNE w/ JONES at Triple Rock, Minneapolis (05 Aug 2016)"
616,And,y on Musicians who died in 2019
617,Jam,"es Stark on Half Price Books‎ Clearance Sale at the Minnesota State Fairgrounds, St Paul (06 Oct 2018)"
618,W♥M,"on Belle & Sebastian at Weesner Family Amphitheater, Apple Valley (23 July 2019)"
619,Bri,"an Douglas on Belle & Sebastian at Weesner Family Amphitheater, Apple Valley (23 July 2019)"
620,Ton,y starc on iBuyPower Fallout Gaming PC
621,Mar,y D on Corsair Void Pro and Gaming ST100 Headset Stand
622,Rus,sell Lichter on Musicians who died in 2019
623,Minneapolis:,"September 1 to September 6, 2019"
624,Dog days of,Summer
625,The Bacon Br,"others at Dakota Jazz Club, Minneapolis (21 Aug 2019)"
626,Flying Lotus,"at First Avenue, Minneapolis (20 August 2019)"
627,The Faint at,"Fine Line Music Cafe, Minneapolis (12 August 2019)"
628,GOG Galaxy 2,.0 Closed Beta
629,The Bird and,"the Bee at Turf Club, St Paul (11 August 2019)"
630,R.I.P. Peter,Fonda
631,Minneapolis:,"August 22 to August 31, 2019"
632,Minneapolis:,"August 18 to August 21, 2019"
633,W♥M,
634,Powered by T,ypePad
